species_code,season,region_type,region_code,region_name,n_cells,abd_ppy_median,abd_ppy_lower,abd_ppy_upper,abd_trend_median,abd_trend_lower,abd_trend_upper
rethaw,breeding,state,DOM-1391,Santiago Rodríguez,7,1.1788944067958531,-0.2865088709588332,2.483554578483123,12.43442290906649,-2.828430224469991,27.80322186034887
rethaw,breeding,state,DOM-1392,Valverde,6,-0.07411245731355434,-2.431776488177687,0.9424528748135874,-0.7386577563486818,-21.822104414118037,9.834439388269978
rethaw,breeding,state,DOM-1393,San Juan,13,-0.2564938353891386,-1.19996846980532,2.300359073802752,-2.5355348522883125,-11.372023912973518,25.536952278621538
rethaw,breeding,state,DOM-1394,Santo Domingo,3,1.5000820223500004,-1.470972341456642,2.074176184968913,16.055020341252792,-13.773259502461444,22.78882267415341
rethaw,breeding,state,DOM-1395,Sánchez Ramírez,5,0.3731670854402289,-1.735218063563639,1.4617252253102124,3.794962676723057,-16.058070590077545,15.617194438477425
rethaw,breeding,state,DOM-1396,San Pedro de Macorís,3,0.16145736314479706,-1.3090863649360918,1.6409810743631423,1.6263550978614427,-12.346008993762435,17.676158787830975
rethaw,breeding,state,DOM-1964,Monte Cristi,7,-0.8687245831955944,-1.6138438019061463,-0.1355904621239182,-8.355387718458562,-15.015458327457845,-1.347661315935067
rethaw,breeding,state,DOM-1965,Puerto Plata,6,0.4454188691467309,-0.2862354585273528,1.7870625982254296,4.544536530216137,-2.825765766262356,19.37841693079811
rethaw,breeding,state,DOM-1966,Dajabón,5,-0.02437662460521868,-0.9010677661208416,1.4693437302961518,-0.24349902087670297,-8.65395448028805,15.70403781284897
rethaw,breeding,state,DOM-1967,Espaillat,5,0.32827576361077004,-1.5156276545470018,3.2056336927176083,3.3316788437317557,-14.163260160242364,37.09892453298056
rethaw,breeding,state,DOM-1968,Hermanas,5,0.9021641557430452,-2.1143031804587635,1.9907639100160317,9.396848518262392,-19.24073311451281,21.78910714055768
rethaw,breeding,state,DOM-1969,Bahoruco,6,-0.8912215877714197,-1.6792895601858129,0.937427618128132,-8.563155147335522,-15.579080156024505,9.779772337723248
